year,n,mean,ci_lo,ci_hi,metric,variant
2010,60,0.3605926533641966,0.22335559985434314,0.5066680811732843,heartbreak_share,weighted_complete_case
2011,67,0.2667762152247019,0.14600760809610022,0.4092829734958563,heartbreak_share,weighted_complete_case
2012,81,0.28248292519726803,0.1631238314749616,0.40532292262409453,heartbreak_share,weighted_complete_case
2013,70,0.3255861823761672,0.18889096107583642,0.46921170323203815,heartbreak_share,weighted_complete_case
2014,69,0.18445740467374908,0.0855505674904648,0.29798685541258535,heartbreak_share,weighted_complete_case
2015,63,0.2480795259992291,0.12981706778485705,0.3847319357922126,heartbreak_share,weighted_complete_case
2016,59,0.33597886112404834,0.20601924914674646,0.47449289452696747,heartbreak_share,weighted_complete_case
2017,59,0.3192648396409222,0.1665958667041429,0.4818216881870162,heartbreak_share,weighted_complete_case
2018,71,0.3123131100013661,0.18054662752169467,0.4540598819718472,heartbreak_share,weighted_complete_case
2019,57,0.31790262045360196,0.15546528904173643,0.47554571367058196,heartbreak_share,weighted_complete_case
2020,61,0.2528555431131019,0.13827437057924433,0.3838838653612732,heartbreak_share,weighted_complete_case
2021,64,0.47453251296899507,0.3074858847095679,0.6284241693610969,heartbreak_share,weighted_complete_case
2022,62,0.3696366314980372,0.22534739179063715,0.512342981842162,heartbreak_share,weighted_complete_case
2023,65,0.43878578755945163,0.26760975669208953,0.6026904153409017,heartbreak_share,weighted_complete_case
2024,63,0.32443474948928364,0.1803202830013872,0.4833152771799226,heartbreak_share,weighted_complete_case
2025,75,0.34694047762466523,0.22139481292574767,0.48848554687863627,heartbreak_share,weighted_complete_case
2026,66,0.3287476953623599,0.18547110897414848,0.4756838919928422,heartbreak_share,weighted_complete_case
1958,76,0.35526315789473684,0.25,0.4605263157894737,heartbreak_share,unweighted_complete_case
1959,62,0.22580645161290322,0.12903225806451613,0.3387096774193548,heartbreak_share,unweighted_complete_case
1960,64,0.34375,0.234375,0.453125,heartbreak_share,unweighted_complete_case
1961,67,0.3283582089552239,0.208955223880597,0.44776119402985076,heartbreak_share,unweighted_complete_case
1962,70,0.32857142857142857,0.22857142857142856,0.44285714285714284,heartbreak_share,unweighted_complete_case
1963,65,0.36923076923076925,0.24615384615384617,0.47692307692307695,heartbreak_share,unweighted_complete_case
1964,71,0.36619718309859156,0.2535211267605634,0.4788732394366197,heartbreak_share,unweighted_complete_case
1965,60,0.3333333333333333,0.21666666666666667,0.4666666666666667,heartbreak_share,unweighted_complete_case
1966,60,0.3333333333333333,0.21666666666666667,0.45,heartbreak_share,unweighted_complete_case
1967,65,0.3076923076923077,0.2,0.4307692307692308,heartbreak_share,unweighted_complete_case
1968,62,0.3387096774193548,0.22580645161290322,0.45161290322580644,heartbreak_share,unweighted_complete_case
1969,44,0.29545454545454547,0.1590909090909091,0.4318181818181818,heartbreak_share,unweighted_complete_case
1970,59,0.3728813559322034,0.2542372881355932,0.4915254237288136,heartbreak_share,unweighted_complete_case
1971,61,0.3442622950819672,0.22950819672131148,0.45901639344262296,heartbreak_share,unweighted_complete_case
